fast,slow,atr_mult,ema_200,rsi_max,Return %,Sharpe,Max DD %,Win Rate %,Trades
3,21,2.0,True,65.0,14.089861679077147,4.345984228629102,3.2650040073599818,40.78947368421053,76
12,30,1.5,False,65.0,7.967868804931641,4.335652341915592,1.6820158476736287,50.0,40
3,21,1.5,False,65.0,12.786732864379882,4.320764959907699,3.1810171708194424,39.04761904761905,105
3,13,1.5,True,100.0,12.498224258422852,4.309024588064032,3.893032619178459,42.15686274509804,102
5,30,1.5,False,65.0,11.02414665222168,4.298823584398082,2.725760680140993,44.06779661016949,59
8,21,1.5,False,65.0,10.53307685852051,4.295426766885957,3.6874327972846954,45.16129032258064,62
12,21,1.5,False,60.0,10.257315826416015,4.282425676164065,2.8959959164835865,44.18604651162791,43
3,21,2.5,True,65.0,14.156674575805663,4.274607353816082,3.2819496817909006,36.84210526315789,76
8,13,1.5,True,65.0,11.782444381713868,4.265091364151807,2.3197182119412028,44.44444444444444,63
3,26,2.5,True,100.0,13.495360565185546,4.231312973740781,2.9608933031952884,39.726027397260275,73
5,13,1.5,True,100.0,11.772987747192383,4.1325951278786075,3.208854240275636,43.58974358974359,78
5,21,1.5,True,100.0,10.073928833007812,4.131203863923905,2.5346675698194274,39.34426229508197,61
5,30,1.5,True,100.0,10.06483039855957,4.121659717507112,2.4701110518826215,45.65217391304348,46
5,26,1.5,False,65.0,10.438188171386718,4.113629380206308,3.5134445449480802,43.07692307692308,65
12,21,1.5,False,65.0,10.323441314697265,4.102254364300421,2.6334289758040685,46.93877551020408,49
3,30,1.5,True,100.0,10.121326065063476,4.088397621002727,2.914337515080857,43.333333333333336,60
8,13,2.5,True,100.0,14.930836868286132,4.0810304910426245,3.6291653560320327,44.11764705882353,68
3,26,2.0,False,65.0,13.066617584228515,4.075713817909277,3.713879171752926,38.94736842105263,95
8,26,1.5,True,100.0,9.836550903320312,4.074614687260868,2.453840719962547,47.61904761904761,42
3,13,2.5,True,65.0,12.71108512878418,4.070763727306404,3.7590079765262385,38.775510204081634,98
8,26,2.5,True,100.0,12.853373718261718,4.042860926848339,3.8575239877377343,52.38095238095239,42
5,26,1.5,True,100.0,9.790443420410156,4.039418574307331,2.4740126831200104,44.230769230769226,52
3,21,1.5,False,60.0,11.82723617553711,4.0344760482122055,3.2076142718891996,38.83495145631068,103
5,13,1.5,False,65.0,12.185486221313477,4.023991552858513,3.936286346082584,41.17647058823529,102
5,30,1.5,False,60.0,10.130647277832031,3.9913956909472543,2.855056201500587,43.859649122807014,57
8,21,1.5,False,60.0,9.578030014038086,3.990272634194816,3.3953238633480467,44.06779661016949,59
3,8,1.5,True,100.0,10.85728416442871,3.9830737816366417,3.3918000663147914,40.625,128
10,30,1.5,True,100.0,8.153899383544921,3.9760607908502466,2.513937256630134,54.285714285714285,35
8,26,1.5,False,60.0,9.867465591430664,3.97068655843122,3.010371611845638,45.09803921568628,51
8,21,1.5,True,100.0,9.379443740844726,3.9389584864210025,2.462701245925226,45.09803921568628,51
8,13,1.5,True,60.0,10.761118698120118,3.9299173870332793,2.3463848396989815,42.857142857142854,56
12,30,2.5,True,100.0,10.26057472229004,3.898896649244698,3.929253411204848,57.14285714285714,35
10,30,1.5,False,60.0,7.203341293334961,3.8749721467231724,2.378311591232556,55.55555555555556,36
8,30,1.5,True,100.0,7.916218948364258,3.8701782777719305,2.440716825866859,51.35135135135135,37
5,13,2.0,True,65.0,12.190651321411133,3.863935933699105,3.183941436130954,42.465753424657535,73
3,13,1.5,False,65.0,12.647683715820312,3.856796805012468,3.97032899495372,38.23529411764706,136
3,13,1.5,False,60.0,12.584848785400391,3.854452787993304,3.9724722216876778,36.666666666666664,120
