timeframe,fast_ema,slow_ema,atr_mult,ema_200,rsi_max,Return %,Sharpe,Max DD %,Win Rate %,Trades,Avg Duration (min)
5m,8,21,2.5,True,70,0.27463457048963846,0.11102304387018959,11.2408659054892,31.901840490797547,163,324.7852760736196
5m,8,21,2.5,True,100,-2.3463832060508936,-0.23024768634695422,12.242103619914063,32.0,175,313.22857142857146
5m,8,21,2.5,False,70,-17.84487895730417,-1.682904518574242,21.80837207878228,28.13688212927757,263,259.1254752851711
5m,8,21,2.5,False,100,-18.73374650119515,-1.7397580008129407,22.28160982703295,29.03225806451613,279,252.5268817204301
5m,8,21,3.5,True,70,12.771277405579735,1.502113856610566,9.147345520831841,33.12883435582822,163,472.9447852760736
5m,8,21,3.5,True,100,9.646752741135083,1.1180757513955375,11.33631762911166,32.57142857142858,175,453.8
5m,8,21,3.5,False,70,-7.017868846396323,-0.37937194779251304,21.92386236363228,30.038022813688215,263,393.2699619771863
5m,8,21,3.5,False,100,-9.717834266738363,-0.5766952134706776,24.60317821646556,30.107526881720432,279,380.6272401433692
5m,8,21,4.5,True,70,11.99052051616402,1.2659076180190905,12.051394662821272,31.28834355828221,163,530.1840490797546
5m,8,21,4.5,True,100,7.615569453480497,0.8112467246773873,15.057216037004048,32.0,175,510.37142857142857
5m,8,21,4.5,False,70,-7.784567564577902,-0.38510098915828783,23.195466677721733,28.517110266159694,263,444.27756653992395
5m,8,21,4.5,False,100,-7.490377054711461,-0.323839448626589,26.67404959487308,29.39068100358423,279,435.60931899641577
5m,8,21,,True,70,8.60135450000123,0.9276918187710648,13.139489281878019,30.061349693251532,163,537.4846625766871
5m,8,21,,True,100,3.5271965000013776,0.4300950993573887,16.22109260043034,31.428571428571427,175,518.7428571428571
5m,8,21,,False,70,-10.582341249998194,-0.5812121251492102,24.311468999998702,27.756653992395435,263,457.8897338403042
5m,8,21,,False,100,-10.294111749998034,-0.49621432447166913,28.429269749998603,29.03225806451613,279,451.14695340501794
5m,8,30,2.5,True,70,1.9968816664170164,0.36050864842651037,7.84168467827978,33.33333333333333,120,342.5
5m,8,30,2.5,True,100,1.0940172434026294,0.22604285940586225,8.24082618181789,33.84615384615385,130,329.96153846153845
5m,8,30,2.5,False,70,-10.326326339183357,-1.116759597801657,14.82605149516491,31.63265306122449,196,285.484693877551
5m,8,30,2.5,False,100,-9.605472129172153,-1.0145814731723009,14.720831771506349,32.535885167464116,209,277.89473684210526
5m,8,30,3.5,True,70,14.865466708072722,1.8762114341832477,6.385711227736665,34.166666666666664,120,505.2916666666667
5m,8,30,3.5,True,100,13.835297422710552,1.6874084162268448,8.009645735323847,33.84615384615385,130,483.11538461538464
5m,8,30,3.5,False,70,-2.009904520538077,-0.06887640539827651,15.90216109749957,33.6734693877551,196,460.3826530612245
5m,8,30,3.5,False,100,-2.3255738413088123,-0.08920290583377662,17.77074952313446,33.97129186602871,209,443.73205741626793
5m,8,30,4.5,True,70,16.088136490457988,1.7392560716800878,7.786516728786708,35.0,120,668.625
5m,8,30,4.5,True,100,13.908302853548843,1.4586593266460333,11.157317923639036,35.38461538461539,130,638.3076923076923
5m,8,30,4.5,False,70,-0.9073413554592094,0.048651854436457746,15.071119792751203,32.6530612244898,196,583.6989795918367
5m,8,30,4.5,False,100,2.425545115067712,0.3157911514972521,18.844667874360795,33.49282296650718,209,568.5645933014354
5m,8,30,,True,70,18.631086750000872,1.8692466899039453,8.88363641223845,34.166666666666664,120,717.375
5m,8,30,,True,100,14.743519250000986,1.4254783563207594,13.681928526202134,35.38461538461539,130,686.3846153846154
